geneA	geneA.ncbi-id	geneA.ensembl-id	geneB	geneB.ncbi-id	geneB.ensembl-id	geneA.perturbation	geneB.perturbation	assay	cell.line	cellosaurus.id	pmid
EGFR	NCBIGene:1956	ENSG00000146648	ANXA6	NCBIGene:309	ENSG00000197043	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	MAPK1	NCBIGene:5594	ENSG00000100030	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	VAV3	NCBIGene:10451	ENSG00000134215	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	HSPA9	NCBIGene:3313	ENSG00000113013	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	NEDD9	NCBIGene:4739	ENSG00000111859	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	RET	NCBIGene:5979	ENSG00000165731	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	CDH3	NCBIGene:1001	ENSG00000062038	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	SHC1	NCBIGene:6464	ENSG00000160691	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	PIK3R1	NCBIGene:5295	ENSG00000145675	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	MAP3K1	NCBIGene:4214	ENSG00000095015	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	CCND1	NCBIGene:595	ENSG00000110092	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	RAPGEF1	NCBIGene:2889	ENSG00000107263	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	FLNA	NCBIGene:2316	ENSG00000196924	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	AKT2	NCBIGene:208	ENSG00000105221	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	NOTCH2	NCBIGene:4853	ENSG00000134250	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	EPHA5	NCBIGene:2044	ENSG00000145242	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	MATK	NCBIGene:4145	ENSG00000007264	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	RASA3	NCBIGene:22821	ENSG00000185989	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	DLG4	NCBIGene:1742	ENSG00000132535	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	INPPL1	NCBIGene:3636	ENSG00000165458	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	PLSCR1	NCBIGene:5359	ENSG00000188313	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	DIXDC1	NCBIGene:85458	ENSG00000150764	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	CBLC	NCBIGene:23624	ENSG00000142273	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	CD59	NCBIGene:966	ENSG00000085063	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	STAT3	NCBIGene:6774	ENSG00000168610	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	PRKCZ	NCBIGene:5590	ENSG00000067606	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	RAC1	NCBIGene:5879	ENSG00000136238	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	DUSP4	NCBIGene:1846	ENSG00000120875	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	SH2D3C	NCBIGene:10044	ENSG00000095370	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	ERBB3	NCBIGene:2065	ENSG00000065361	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	DCN	NCBIGene:1634	ENSG00000011465	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	PRKCD	NCBIGene:5580	ENSG00000163932	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	PIK3R2	NCBIGene:5296	ENSG00000105647	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	PKN2	NCBIGene:5586	ENSG00000065243	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	PIN1	NCBIGene:5300	ENSG00000127445	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	ABL1	NCBIGene:25	ENSG00000097007	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	PPIA	NCBIGene:5478	ENSG00000196262	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	PTPRF	NCBIGene:5792	ENSG00000142949	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	SMAD2	NCBIGene:4087	ENSG00000175387	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	BCAR1	NCBIGene:9564	ENSG00000050820	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	FGFR2	NCBIGene:2263	ENSG00000066468	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	GRB7	NCBIGene:2886	ENSG00000141738	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	TBL1Y	NCBIGene:90665	ENSG00000092377	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	CALM1	NCBIGene:801	ENSG00000198668	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	ARF5	NCBIGene:381	ENSG00000004059	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	DUSP7	NCBIGene:1849	ENSG00000164086	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	SOS2	NCBIGene:6655	ENSG00000100485	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	DDR2	NCBIGene:4921	ENSG00000162733	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	KLF10	NCBIGene:7071	ENSG00000155090	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	ASCL2	NCBIGene:430	ENSG00000183734	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	PRKCE	NCBIGene:5581	ENSG00000171132	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	RPS6KA5	NCBIGene:9252	ENSG00000100784	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	MSMO1	NCBIGene:6307	ENSG00000052802	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	PRKACB	NCBIGene:5567	ENSG00000142875	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	CXCL12	NCBIGene:6387	ENSG00000107562	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	DUSP6	NCBIGene:1848	ENSG00000139318	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	FER	NCBIGene:2241	ENSG00000151422	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	LTK	NCBIGene:4058	ENSG00000062524	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	ARF4	NCBIGene:378	ENSG00000168374	inhibitory antibody	siRNA	cell viability assay	A-431	CVCL_0037	20858866
EGFR	NCBIGene:1956	ENSG00000146648	AURKA	NCBIGene:6790	ENSG00000087586	pharmaceutical	pharmaceutical	cell viability assay	HCT116	CVCL_0291	20858866
TP53	NCBIGene:7157	ENSG00000141510	PAK3	NCBIGene:5063	ENSG00000077264	degradation	shRNA	cell viability assay	primary human foreskin keratinocytes	n/a	20616055
TP53	NCBIGene:7157	ENSG00000141510	SGK2	NCBIGene:10110	ENSG00000101049	degradation	shRNA	cell viability assay	primary human foreskin keratinocytes	n/a	20616055
VHL	NCBIGene:7428	ENSG00000134086	MAPK10	NCBIGene:5602	ENSG00000109339	lof_mutation	shRNA	differential viability assay	RCC4	CVCL_0498	18948595
VHL	NCBIGene:7428	ENSG00000134086	MAPK10	NCBIGene:5602	ENSG00000109339	lof_mutation	shRNA	differential viability assay	786-0	CVCL_1051	18948595
