Table 5. CRISPR Scores from Ba/F3 cells								
Gene	sgRNAs included	-IL-3 CS	+IL-3 CS	Differential CS	-IL-3 CS	+IL-3 CS	Differential CS	Average Differential CS
Shoc2	8	-5,081	0,306	-5,387	-6,141	0,15	-6,291	-5,839
Braf	8	-3,77	0,742	-4,512	-4,352	0,865	-5,217	-4,8645
Usp32	10	-4,279	-0,457	-3,822	-5,525	-0,23	-5,295	-4,5585
Prdm4	8	-3,849	0,384	-4,233	-4,35	0,255	-4,605	-4,419
Trim28	9	-3,728	0,71	-4,438	-4,614	-0,534	-4,08	-4,259
Rps6ka1	10	-4,932	-0,258	-4,674	-6,073	-2,297	-3,776	-4,225
Urm1	10	-4,38	-1,495	-2,885	-5,832	-0,675	-5,157	-4,021
Raf1	9	-3,451	0,476	-3,927	-4,126	-0,146	-3,98	-3,9535
Mapk1	9	-1,378	1,966	-3,344	-2,114	2,395	-4,509	-3,9265
Golga7	10	-2,947	0,034	-2,981	-4,801	-0,517	-4,284	-3,6325
Rce1	9	-3,935	-1,016	-2,919	-4,97	-0,632	-4,338	-3,6285
Bcl2	8	-2,191	-0,431	-1,76	-6,193	-0,721	-5,472	-3,616
Ctu1	8	-4,195	-1,753	-2,442	-5,372	-0,657	-4,715	-3,5785
Pa2g4	8	-2,666	0,753	-3,419	-3,371	0,357	-3,728	-3,5735
Rac1	9	-3,123	0,459	-3,582	-3,592	-0,073	-3,519	-3,5505
Cherp	10	-3,652	-0,427	-3,225	-4,682	-0,812	-3,87	-3,5475
Icmt	9	-4,004	-1,414	-2,59	-6,72	-2,279	-4,441	-3,5155
Ddi2	10	-3,558	-0,483	-3,075	-3,952	-0,172	-3,78	-3,4275
Slc20a1	10	-3,78	-0,027	-3,753	-3,168	-0,345	-2,823	-3,288
Mpp6	10	-2,256	0,536	-2,792	-3,564	-0,031	-3,533	-3,1625
Pdcd2l	9	-3,894	-1,465	-2,429	-5,605	-1,72	-3,885	-3,157
Zc3h18	8	-4,651	-1,678	-2,973	-5,665	-2,426	-3,239	-3,106
Pik3cg	8	-2,805	0,252	-3,057	-3,468	-0,58	-2,888	-2,9725
Med25	9	-3,186	-0,612	-2,574	-4,231	-0,866	-3,365	-2,9695
Gnb2	10	-3,457	-0,732	-2,725	-4,719	-1,55	-3,169	-2,947
Pcnp	10	-2,848	-0,064	-2,784	-3,496	-0,413	-3,083	-2,9335
Mocs3	9	-3,98	-1,951	-2,029	-4,917	-1,081	-3,836	-2,9325
Abhd17b	10	-2,476	0,367	-2,843	-2,322	0,589	-2,911	-2,877
Pik3r5	9	-2,998	-0,568	-2,43	-4,746	-1,603	-3,143	-2,7865
Abhd17a	10	-2,312	0,105	-2,417	-3,275	-0,169	-3,106	-2,7615
Pim1	10	-2,906	-0,503	-2,403	-3,907	-0,825	-3,082	-2,7425
Ccnl1	10	-1,908	0,377	-2,285	-2,926	0,076	-3,002	-2,6435
Acin1	8	-2,916	-0,503	-2,413	-3,957	-1,127	-2,83	-2,6215
Stt3b	9	-2,126	0,55	-2,676	-2,338	0,165	-2,503	-2,5895
Orc5	9	-5,063	-3,136	-1,927	-7,131	-3,912	-3,219	-2,573
Psmd11	10	-4,843	-2,745	-2,098	-6,293	-3,264	-3,029	-2,5635
Ppp1ca	10	-3,527	-1,385	-2,142	-3,868	-0,887	-2,981	-2,5615
Med13	10	-2,72	0,078	-2,798	-2,5	-0,183	-2,317	-2,5575
Brap	8	-3,266	-0,771	-2,495	-3,968	-1,359	-2,609	-2,552
Tceb3	9	-2,032	-0,234	-1,798	-2,838	0,331	-3,169	-2,4835
Dcaf7	8	-4,03	-1,478	-2,552	-4,697	-2,302	-2,395	-2,4735
Prrc2a	9	-2,66	-0,767	-1,893	-4,741	-1,718	-3,023	-2,458
Pds5a	9	-4,758	-2,677	-2,081	-5,269	-2,481	-2,788	-2,4345
2700050L05Rik	8	-2,389	-0,622	-1,767	-3,688	-0,633	-3,055	-2,411
Elp6	10	-3,803	-2,47	-1,333	-5,312	-1,852	-3,46	-2,3965
Derl2	9	-3,533	-1,552	-1,981	-5,267	-2,458	-2,809	-2,395
