Gene 1	Gene 2	Group 1	Group 2	Source	SynLet q-value	Buffer q-value
AKT1	AKT1	AKT	AKT	no 786O	1	0.0001
AKT1	AKT1	AKT	AKT	no A375	1	0.0001
AKT1	AKT1	AKT	AKT	no A549	1	0.0001
AKT1	AKT1	AKT	AKT	no HT29	1	0.0001
AKT1	AKT1	AKT	AKT	no Meljuso	1	0.0001
AKT1	AKT1	AKT	AKT	no OVCAR8	1	0.0001
AKT2	AKT3	AKT	AKT	All 6	0.041675	1
AKT1	BCL2	AKT	Apop	no A549	1	0.013717391
AKT1	BCL2L2	AKT	Apop	no 786O	1	0.084741935
AKT1	BCL2L2	AKT	Apop	no HT29	1	0.163268041
AKT1	BCL2	AKT	Apop	All 6	1	0.17601
AKT1	BCL2L2	AKT	Apop	All 6	1	0.212396396
AKT1	BCL2L2	AKT	Apop	no A549	1	0.217128713
AKT1	BCL2	AKT	Apop	no HT29	1	0.260449153
AKT1	HSP90AA1	AKT	Predict	no A549	1	0.266808696
AKT1	BCL2	AKT	Apop	no A375	1	0.274686869
AKT1	HSP90AA1	AKT	Predict	All 6	1	0.290803922
AKT1	HSP90AA1	AKT	Predict	no HT29	1	0.357977941
AKT1	BCL2	AKT	Apop	no OVCAR8	1	0.358479167
AKT1	BRCA2	AKT	BrPa	no OVCAR8	1	0.358506757
AKT1	HSP90AA1	AKT	Predict	no Meljuso	1	0.361367347
AKT1	BCL2	AKT	Apop	no Meljuso	1	0.361367347
AKT1	HSP90AA1	AKT	Predict	no OVCAR8	1	0.387835443
AKT1	BCL2L2	AKT	Apop	no OVCAR8	1	0.416690476
AKT1	BCL2	AKT	Apop	no 786O	1	0.420154639
AKT1	BCL2L2	AKT	Apop	no Meljuso	1	0.432411043
AKT1	BRCA2	AKT	BrPa	no A375	1	0.445774834
AKT1	CHEK2	AKT	Predict	no HT29	1	0.448370588
AKT1	HSP90AA1	AKT	Predict	no 786O	1	0.45442381
AKT1	BRCA2	AKT	BrPa	no 786O	1	0.45629108
AKT1	CHEK2	AKT	Predict	no 786O	1	0.470279817
AKT1	CHEK2	AKT	Predict	All 6	1	0.480331683
AKT1	HSP90AA1	AKT	Predict	no A375	1	0.48739521
AKT1	BCL2L2	AKT	Apop	no A375	1	0.500094972
AKT1	CHEK2	AKT	Predict	no OVCAR8	1	0.505636816
AKT1	BRCA2	AKT	BrPa	All 6	1	0.509601852
AKT1	MAPK1	AKT	Mapk	no A375	1	0.517756757
AKT1	CHEK2	AKT	Predict	no A375	1	0.539356021
AKT1	CHEK2	AKT	Predict	no Meljuso	1	0.547617117
AKT1	MAPK1	AKT	Mapk	no 786O	1	0.548363281
AKT1	MAPK1	AKT	Mapk	no OVCAR8	1	0.577918033
AKT1	BRCA2	AKT	BrPa	no Meljuso	1	0.631996226
AKT1	EEF2	AKT	Ctrl	no A375	1	0.636987448
AKT1	MAPK1	AKT	Mapk	All 6	1	0.641814685
AKT1	BRCA2	AKT	BrPa	no A549	1	0.666894366
AKT1	BCL2L1	AKT	Apop	no HT29	1	0.698363636
AKT1	CHEK2	AKT	Predict	no A549	1	0.715393836
AKT1	EEF2	AKT	Ctrl	no HT29	1	0.735389881
AKT1	BCL2L10	AKT	Apop	no HT29	1	0.735389881
AKT1	HPRT intron	AKT	Ctrl	no HT29	1	0.742621701
AKT1	HPRT intron	AKT	Ctrl	no A549	1	0.751393333
AKT1	MAPK1	AKT	Mapk	no HT29	1	0.755425287
AKT1	EEF2	AKT	Ctrl	no Meljuso	1	0.770427326
AKT1	EEF2	AKT	Ctrl	All 6	1	0.782667606
AKT1	MAPK1	AKT	Mapk	no A549	1	0.803
AKT1	BCL2L10	AKT	Apop	no A375	1	0.81406875
AKT1	HPRT intron	AKT	Ctrl	All 6	1	0.835634211
AKT1	BRCA2	AKT	BrPa	no HT29	1	0.848545213
AKT1	CHEK1	AKT	Predict	no HT29	1	0.867994832
AKT1	CHEK1	AKT	Predict	no A549	1	0.876756233
AKT1	EEF2	AKT	Ctrl	no 786O	1	0.884438903
AKT1	CHEK1	AKT	Predict	All 6	1	0.886798526
AKT1	EEF2	AKT	Ctrl	no A549	1	0.889456757
AKT1	HPRT intron	AKT	Ctrl	no A375	1	0.895904762
AKT1	HPRT intron	AKT	Ctrl	no 786O	1	0.899417476
AKT1	CHEK1	AKT	Predict	no A375	1	0.900456044
AKT1	CHEK1	AKT	Predict	no 786O	1	0.904736077
AKT1	BCL2L1	AKT	Apop	no OVCAR8	1	0.921867684
AKT1	BCL2L10	AKT	Apop	All 6	1	0.926875598
AKT1	CHEK1	AKT	Predict	no OVCAR8	1	0.93398533
AKT1	HPRT intron	AKT	Ctrl	no OVCAR8	1	0.934759124
AKT1	PARP1	AKT	BrPa	no A549	1	0.9408867
AKT1	EEF2	AKT	Ctrl	no OVCAR8	1	0.959903756
AKT1	BCL2L10	AKT	Apop	no Meljuso	1	0.964147783
AKT1	HPRT intron	AKT	Ctrl	no Meljuso	1	0.983641827
AKT1	BCL2L10	AKT	Apop	no OVCAR8	1	0.9838125
AKT1	MAPK1	AKT	Mapk	no Meljuso	1	0.995169856
AKT1	BCL2L1	AKT	Apop	All 6	1	0.995343249
AKT1	PARP1	AKT	BrPa	All 6	1	1
AKT1	AKT2	AKT	AKT	no A549	0.0088	1
AKT1	MAPK3	AKT	Mapk	no 786O	0.044	1
AKT1	AKT3	AKT	AKT	no HT29	0.063638298	1
AKT1	UBB	AKT	Red	no Meljuso	0.067295455	1
AKT1	MAPK3	AKT	Mapk	no Meljuso	0.06977551	1
AKT1	UBB	AKT	Red	no 786O	0.097333333	1
