Gene_Pair	GeneA y Phenotype	GeneB y Phenotype	"GeneAB Observed y Phenotype"	GeneAB RawGI	GeneAB NormGI	GeneAB GIT score	GeneAB GIM score	"Correlation of GI profiles (GIT score)"	"Correlation of GI profiles (GIM score)"	q-values based on GIM score
AKT1__AKT2	-1,614	-3,476	-6,506	-1,303	-1,852	-10,003	-14,395	-0,220	-0,363	3,23E-11
PIM1__PIM2	-3,019	-2,275	-6,979	-1,643	-2,229	-9,856	-14,423	-0,165	-0,316	6,05E-11
BCL2L1__MCL1	-5,370	-2,489	-10,067	-1,971	-2,275	-8,359	-10,375	-0,011	-0,053	9,67E-08
TK1__TK1	-1,890	-1,890	-5,975	-2,384	-3,589	-8,116	-1,409	NA	NA	0,16227562
ALAD__GPI	-4,894	-3,285	-9,437	-1,433	-1,738	-7,048	-11,273	-0,109	-0,249	2,14E-08
ATM__PRKDC	-1,456	-3,525	-6,210	-1,130	-1,483	-6,814	-12,508	0,052	-0,009	1,66E-09
APEX1__PRKDC	-2,369	-3,525	-7,541	-0,939	-1,378	-5,349	-5,087	-0,005	0,060	0,002151788
BRD2__CARM1	-2,558	-3,923	-7,169	-0,924	-1,215	-4,873	-5,199	-0,040	-0,131	0,001748723
DBH__TPSAB1	-1,058	-2,436	-3,850	-0,566	-0,919	-4,569	-3,602	-0,014	0,014	0,020046444
MAP3K10__POMC	-1,090	-0,616	-2,860	-0,720	-1,199	-4,510	-6,159	-0,031	-0,024	0,000347497
PRKDC__TSPO	-3,525	-1,526	-6,490	-0,574	-0,884	-4,489	-6,256	-0,028	0,027	0,000296336
CARM1__FABP4	-3,923	0,022	-4,600	-0,602	-1,076	-4,444	-4,696	0,028	0,051	0,004143248
LCK__PIK3C2B	-2,887	-0,665	-4,251	-0,627	-1,021	-4,237	-5,082	-0,062	-0,042	0,002141453
FABP4__SLC16A8	0,022	-1,458	-2,377	-0,564	-1,015	-4,221	-3,843	0,183	0,190	0,014220647
ITGB7__MAP2K7	-1,477	-0,638	-2,956	-0,486	-0,880	-4,214	-3,378	0,077	0,113	0,025144665
CDKN1A__TOP1	-1,754	-10,290	-13,399	-1,416	-1,076	-4,167	-4,306	-0,047	-0,083	0,007695887
CDK12__ERBB2	-5,192	-1,344	-6,823	-0,721	-0,963	-4,155	-3,289	0,012	0,026	0,027777285
BCL2L1__TYK2	-5,370	-1,079	-6,637	-0,538	-0,735	-4,122	-4,515	0,022	0,003	0,005500678
CDK12__KSR1	-5,192	-0,783	-7,029	-0,677	-0,838	-4,116	-6,970	0,017	-0,111	0,000086
AOC1__PFKFB1	-0,898	-0,008	-1,145	-0,462	-0,855	-4,116	-3,202	-0,058	-0,061	0,030178479
LCK__MAP2K7	-2,887	-0,638	-4,234	-0,620	-0,954	-4,069	-3,638	-0,053	0,006	0,018932242
CYP4F12__GPX1	-2,447	-1,005	-3,467	-0,598	-1,053	-4,044	-4,757	0,062	0,101	0,003794128
CDC25A__PRKAA1	-3,276	-0,215	-4,064	-0,669	-1,160	-4,040	-2,891	0,084	0,101	0,041082951
BRD2__CYP4F12	-2,558	-2,447	-5,109	-0,548	-0,851	-4,025	-2,917	-0,001	0,041	0,040372748
GPI__NDUFB1	-3,285	-6,822	-11,380	-1,546	-1,442	-4,023	-5,329	-0,134	-0,242	0,001419445
AMHR2__LCK	-1,067	-2,887	-4,467	-0,583	-0,948	-4,018	-4,697	0,004	0,011	0,004186602
CAMK2G__CYP4F12	-1,296	-2,447	-3,756	-0,493	-0,844	-3,995	-4,523	0,106	0,142	0,005533975
AANAT__TOP1	-1,408	-10,290	-12,531	-0,905	-0,987	-3,969	-4,768	-0,003	-0,074	0,003747694
CDC25A__PIK3CG	-3,276	-1,010	-5,337	-0,628	-0,995	-3,918	-5,428	0,029	-0,055	0,001247362
NPEPPS__TK1	-1,323	-1,890	-3,495	-0,532	-0,890	-3,876	-5,763	0,250	0,158	0,000709046
IL12A__PIK3CD	-0,186	-1,372	-2,402	-0,807	-1,421	-3,833	-1,968	0,054	0,068	0,096972396
BIRC5__ERBB2	-9,867	-1,344	-10,935	-1,197	-1,208	-3,831	-2,743	0,008	0,090	0,047116557
LARS2__PRKAA1	-5,628	-0,215	-6,156	-0,502	-0,762	-3,803	-5,075	-0,059	-0,047	0,002144071
CDC25A__OXT	-3,276	-0,939	-5,454	-0,680	-1,036	-3,803	-4,788	0,180	0,204	0,003732862
GMPS__GMPS	-9,083	-9,083	-23,906	-5,223	-2,005	-3,801	-3,108	NA	NA	0,033112836
LCK__MASP2	-2,887	-0,472	-4,221	-0,528	-0,822	-3,781	-3,337	-0,031	-0,012	0,026294651
ATM__MAP3K4	-1,456	-1,918	-3,858	-0,517	-0,761	-3,763	-4,301	-0,001	0,034	0,007709838
MST1R__PRKCA	-0,732	-0,440	-1,767	-0,431	-0,822	-3,756	-3,146	0,167	0,227	0,031806852
CDK2__MAP2K5	-4,432	-0,580	-5,743	-0,930	-1,306	-3,725	-3,161	-0,006	0,016	0,031352942
CDC25A__PRKDC	-3,276	-3,525	-8,370	-0,737	-0,961	-3,720	-4,615	0,171	0,181	0,004747098
DDR2__TK1	-0,085	-1,890	-2,550	-0,542	-0,888	-3,692	-3,783	0,168	0,150	0,015029862
MAPK12__OXT	-3,067	-0,939	-4,965	-0,427	-0,749	-3,678	-3,998	0,101	0,085	0,011949644
DBH__TK1	-1,058	-1,890	-3,538	-0,657	-1,063	-3,637	-5,520	0,137	0,052	0,001076531
DOT1L__MCL1	-5,960	-2,489	-9,535	-0,758	-0,838	-3,628	-4,057	0,094	0,098	0,011177113
CDC25A__RELA	-3,276	-0,822	-5,160	-0,584	-0,872	-3,624	-4,002	0,059	0,091	0,011928845
NT5M__TK1	-0,676	-1,890	-2,839	-0,472	-0,862	-3,620	-2,065	0,228	0,183	0,0900522
ITGB7__LCK	-1,477	-2,887	-4,610	-0,549	-0,848	-3,615	-4,241	0,061	0,061	0,008293392
NAMPT__XPO1	-16,018	-11,396	-26,700	-3,464	-1,344	-3,606	-3,462	0,132	0,102	0,022974531
CD22__FABP4	-0,503	0,022	-1,259	-0,427	-0,761	-3,578	-4,072	0,042	0,134	0,010884086
BCAT2__LTC4S	-1,032	-1,265	-2,748	-0,411	-0,788	-3,575	-3,207	0,129	0,157	0,030006543
CYP4F12__MAP3K10	-2,447	-1,090	-3,425	-0,492	-0,828	-3,570	-3,404	0,126	0,188	0,024148323
CHD1__CKM	-1,547	-1,322	-2,891	-0,401	-0,696	-3,562	-3,413	0,109	0,133	0,02392822
