Symbol	Gene_ID	Rank	RSA.p-value	FDR
MAP3K7IP2	23118	1	2.41E-08	0.000165243
GPX4	2879	2	8.01E-07	0.002749612
MAP3K7	6885	3	1.55E-06	0.003535029
BCL2L1	598	4	8.86E-06	0.013508352
CRX	1406	5	1.10E-05	0.013508352
RNF31	55072	6	1.23E-05	0.013508352
MMP9	4318	7	1.38E-05	0.013508352
ATR	545	8	7.27E-05	0.061220222
OR1A2	26189	9	8.63E-05	0.061220222
AGRP	181	10	8.92E-05	0.061220222
ADAM19	8728	11	0.000119363	0.068937113
BRCA1	672	12	0.000135668	0.068937113
GIT2	9815	13	0.000137847	0.068937113
KCNK2	3776	14	0.000140606	0.068937113
HOXA1	3198	15	0.000151206	0.069191866
PPP2R1A	5518	16	0.000167085	0.071679465
TSG101	7251	17	0.000203087	0.080480781
NCAM1	4684	18	0.000211051	0.080480781
UPF1	5976	19	0.000225955	0.081629217
ATXN3L	92552	20	0.000302395	0.103781964
CHEK1	1111	21	0.000332676	0.108737527
STYXL1	51657	22	0.00035188	0.10978656
PTAR1	375743	23	0.000407116	0.118978574
TWF1	5756	24	0.000416009	0.118978574
MTMR2	8898	25	0.000435125	0.11946792
TRAF6	7189	26	0.000543267	0.143422488
OR7C2	26658	27	0.000565667	0.143805122
PPP1R16B	26051	28	0.000608819	0.149247629
DGKZ	8525	29	0.00065577	0.150351552
ARTN	9048	30	0.000675461	0.150351552
USP5	8078	31	0.0007082	0.150351552
PTPRO	5800	32	0.000716278	0.150351552
AKAP13	11214	33	0.000722844	0.150351552
CYP26B1	56603	34	0.000755858	0.152594392
IBSP	3381	35	0.000856411	0.156254711
ZC3HC1	51530	36	0.000878812	0.156254711
SEL1L	6400	37	0.000906138	0.156254711
AIFM3	150209	38	0.000906978	0.156254711
HEMK1	51409	39	0.000917095	0.156254711
ZAP70	7535	40	0.000947092	0.156254711
LRCH4	4034	41	0.000950388	0.156254711
CASP10	843	42	0.000956104	0.156254711
PTGIR	5739	43	0.001055105	0.165060636
ANO9	338440	44	0.001058081	0.165060636
TGM2	7052	45	0.001112337	0.168971983
GRK5	2869	46	0.001132388	0.168971983
EPS15L1	58513	47	0.001205115	0.175998071
GPC2	221914	48	0.001298575	0.183071763
SLC6A2	6530	49	0.001344691	0.183071763
KIF19	124602	50	0.001357478	0.183071763
PIK3R1	5295	51	0.001360236	0.183071763
PLXNC1	10154	52	0.001389681	0.183437892
UCK1	83549	53	0.001473589	0.18763963
HPGD	3248	54	0.001511287	0.18763963
GPS1	2873	55	0.001550975	0.18763963
USP18	11274	56	0.001565921	0.18763963
DCXR	51181	57	0.001573829	0.18763963
CACNA1G	8913	58	0.001585533	0.18763963
PRSS21	10942	59	0.001637832	0.190169637
TMC5	79838	60	0.001662322	0.190169637
TNFRSF11A	8792	61	0.001700166	0.191310482
DGKB	1607	62	0.001731014	0.191640002
GPR55	9290	63	0.0019321	0.210506895
CASP1	834	64	0.001970335	0.211318429
SMG1	23049	65	0.002036119	0.212019842
IL4I1	259307	66	0.00204487	0.212019842
EML4	27436	67	0.002069541	0.212019842
AZIN1	51582	68	0.002115322	0.213523091
RPS6KB1	6198	69	0.00216915	0.215278453
COPS2	9318	70	0.002213216	0.215278453
DTL	51514	71	0.002262555	0.215278453
ALX4	60529	72	0.002288361	0.215278453
TAP2	6891	73	0.002289529	0.215278453
ASPH	444	74	0.002417054	0.219782992
RRM2	6241	75	0.002417237	0.219782992
MCCC2	64087	76	0.002446186	0.219782992
SLC2A2	6514	77	0.002495845	0.219782992
RNF38	152006	78	0.002497534	0.219782992
KIAA1128	54462	79	0.002568168	0.22313804
WHSC1	7468	80	0.002627299	0.225422254
RNF113A	7737	81	0.002719083	0.228211761
KIF9	64147	82	0.002726306	0.228211761
RAB2A	5862	83	0.002858545	0.236398227
PPP2R1B	5519	84	0.003020861	0.242982801
IRAK4	51135	85	0.003075713	0.242982801
STAT1	6772	86	0.003148281	0.242982801
WEE1	7465	87	0.003171724	0.242982801
HEXA	3073	88	0.003191876	0.242982801
CACNB1	782	89	0.003270491	0.242982801
TRAF3IP3	80342	90	0.003294617	0.242982801
RFX1	5989	91	0.00332257	0.242982801
PTCH2	8643	92	0.003328018	0.242982801
SFXN5	94097	93	0.003399826	0.242982801
EDN3	1908	94	0.003436587	0.242982801
IMPG1	3617	95	0.003473399	0.242982801
COG2	22796	96	0.00347823	0.242982801
