Number	gene_id	symbol	difference_in_slope	pvalue	fdr	RB1_defective_median_zGARP	RB1_wild_type_median_zGARP	difference_in_median_zGARP	Penetrance.%	Coverage %	BT549_BREAST	CAL148_BREAST	CAL851_BREAST	DU4475_BREAST	HCC1187_BREAST	HCC1937_BREAST	HCC3153_BREAST	HDQP1_BREAST	MB157_BREAST	MDAMB436_BREAST	MDAMB468_BREAST	SUM149_BREAST	184A1_BREAST	BT20_BREAST	CAL51_BREAST	HCC1143_BREAST	HCC1806_BREAST	HCC2688_BREAST	HCC38_BREAST	HS578T_BREAST	MACLS2_BREAST	MDAMB157_BREAST	MDAMB231_BREAST	MDAMB453_BREAST	SKBR7_BREAST	SUM102_BREAST	SUM1315_BREAST	SUM159_BREAST	SUM52_BREAST	184B5_BREAST	CAL120_BREAST	HBL100_BREAST	HCC1395_BREAST	HCC1599_BREAST	HCC2185_BREAST	HCC70_BREAST	MFM223_BREAST	MX1_BREAST	SKBR5_BREAST	SUM185_BREAST	SUM229_BREAST	SW527_BREAST
14	8318	CDC45	-0.391864415291863	8.18E-05	0.066295783847816	-2.3355	-1.314	-1.0215	92	39	-2.247	-4.438	-1.634	-2.128	-1.794	-2.424	-1.047	-2.719	-4.168	-3.63	-0.78	-3.13	-1.393	-1.492	-2.376	0.176	-3.145	-0.933	-0.513	-1.592	-1.408	-0.417	-1.641	-1.988	-3.052	-1.235	-1.604	-0.684	-0.185	-0.717	-0.526	-1.454	-0.343	-1.22	0.655	-2.19	-1.815	-1.741	-0.614	-0.626	-0.668	-1.643
29	6502	SKP2	-0.26447538961362	0.017101593941047	0.558212885706114	-1.9915	-1.23	-0.7615	92	39	-3.705	-4.345	-1.904	-8.66	-1.996	-2.718	-1.987	-3.287	-1.24	-1.315	-1.42	-0.327	-1.694	-1.164	0.054	-0.543	-1.763	-4.235	-0.848	-1.212	-2.478	-2.164	0.95	-0.378	-2.05	-0.92	0.585	0.527	-0.992	-0.919	-1.618	-0.211	-0.318	-4.122	-1.248	-4.025	-1.723	-3.282	-0.021	-2.488	-1.42	-1.345
64	5427	POLE2	-0.172308560161475	0.032824886558699	0.657731825002089	-2.1305	-1.274	-0.8565	75	35	-2.38	-3.633	-2.154	-0.637	-0.447	-4.994	-0.779	-1.711	-1.297	-3.303	-3.201	-2.107	-3.558	-1.611	-2.394	-1.61	-1.45	-0.773	-1.214	-3.285	0.161	-1.639	-0.484	0.136	-2.389	-1.056	0.747	-0.605	-2.206	-1.334	1.206	0.713	-1.881	-2.492	-0.727	-2.892	-0.681	-1.988	-2.462	0.641	-0.457	-0.906
56	6636	SNRPF	-0.40234017503901	0.000236423608438	0.101400020035157	-2.3335	-0.804	-1.5295	75	41	-2.596	0.623	-2.128	-0.641	-0.928	-5.072	-2.437	-2.23	-4.095	-5.527	-5.332	-2.213	-0.998	-2.783	-0.752	-1.074	-3.522	0.418	0.934	-1.968	-3.223	-2.616	-1.463	-1.102	-0.856	0.195	0.433	0.414	-1.773	0.523	-0.095	0.659	-0.617	-0.171	-0.527	-4.766	-0.163	-7.161	0.33	0.303	-1.237	-2.865
17	8914	TIMELESS	-0.463344926192086	0.000233609191784	0.101400020035157	-2.513	-1.413	-1.1	92	38	-1.913	-2.554	-2.837	-0.914	-1.356	-5.044	-2.472	-1.264	-2.664	-6.321	-2.227	-6.806	-1.495	-1.358	-0.986	-2.051	-3.761	-3.072	-0.357	-1.468	-4.305	-0.177	-2.043	-0.695	-1.623	-0.823	-0.208	-1.301	-0.181	-1.628	0.585	-0.061	-3.493	-2.163	-1.506	-2.056	-0.339	-3.584	-1.313	0.564	-3.626	-0.464
109	84296	GINS4	-0.127673358795887	0.031016112607105	0.648872484759662	-1.3705	-0.45	-0.9205	58	50	0.109	-1.958	-1.484	-2.639	-0.163	0.353	-1.265	-2.676	-1.476	-1.726	-0.807	-0.892	-1.298	-1.062	-0.698	0.271	-2.412	-0.571	0.556	0.853	-1.658	-0.182	-0.723	-0.353	-0.488	0.74	-0.415	0.35	0.212	-1.521	0.671	0.56	-0.481	-0.194	-0.419	-6.145	-0.79	-1.568	-0.051	0.077	-0.824	-0.611
92	7027	TFDP1	-0.348928144429078	8.71E-05	0.066295783847816	-1.1985	-0.373	-0.8255	58	54	-1.226	-2.055	-1.171	-3.747	-2.013	0.038	-0.995	-1.961	-0.711	-1.434	-0.618	-0.879	0.53	0.242	-0.682	-0.404	-0.906	0.016	0.36	0.23	-1.923	0.514	-0.115	-4.224	-0.931	0.54	-2.483	-1.383	-0.661	-0.021	0.086	-0.694	-0.004	-2.397	-0.032	-1.371	-0.594	-0.05	-0.342	-0.449	0.531	-0.539
25	6749	SSRP1	-0.311500086274805	0.008156110248008	0.438480644419221	-2.344	-1.6485	-0.6955	92	31	-2.497	-4.484	-1.676	-2.355	-1.67	-2.858	-1.809	-3.972	-3.871	-2.333	0.029	-1.606	-1.58	-2.964	-2.356	-2.069	-1.272	-0.779	0.459	-2.401	-1.453	-1.538	-1.473	-1.792	-1.229	-2.728	-1.284	-1.745	-2.904	-1.842	0.93	-1.485	-1.554	-2.748	-2.695	-0.715	-2.095	-1.717	-2.074	-0.605	-0.108	-2.074
114	63922	CHTF18	-0.350168546840661	0.006696291649654	0.422663793435665	-1.0155	-0.407	-0.6085	50	50	-0.981	-1.05	-1.064	1.687	-0.908	-1.235	-0.363	-0.74	-1.208	-3.425	-1.165	-0.281	-0.025	-0.094	-0.421	-0.393	-0.64	0.79	-0.793	1.759	-0.777	0.549	0.422	0.873	-0.384	0.584	-2.023	-0.64	-0.487	0.101	-2.092	-1.19	0.996	-0.927	0.336	-0.87	-1.611	0.617	-0.857	-1.636	-0.167	-1.366
26	6169	RPL38	-0.406808011268514	0.0129560059461	0.52409418088454	-3.0435	-1.5135	-1.53	92	34	-3.547	-3.288	-1.535	-7.328	-2.423	-3.843	-0.735	-2.035	-2.799	-4.289	-2.491	-3.428	-4.141	-2.905	-6.099	-0.172	-1.857	-1.341	-1.363	-4.653	-2.063	0.996	-3.503	-1.178	-2.301	-1.024	-0.38	-2.932	-1.664	-0.958	-0.521	-1.356	-0.539	-1.336	-0.796	-4.217	-2.886	-3.142	0.083	0.06	-2.237	-3.078
