target	cell_line_number_altered_group	cell_line_number_unaltered_group	median_altered_group	median_unaltered_group	median_difference	mptest.pvalue	Penetrance.(%)	Coverage (%)	HCC1187_BREAST	HCC1937_BREAST	MDAMB436_BREAST	MDAMB468_BREAST	BT20_BREAST	CAL120_BREAST	CAL51_BREAST	HCC1395_BREAST	HCC70_BREAST	MDAMB453_BREAST	HCC1143_BREAST	HCC1806_BREAST	HCC38_BREAST	HS578T_BREAST	MDAMB157_BREAST	MDAMB231_BREAST
PPP1R8	4	12	-2.7414438555	1.017837824	-3.7592816795	0.003	75	60	-2.776103478	-0.470743447	-2.706784233	-4.752692233	-0.255734955	1.75341404	1.34898576	1.223418899	-0.829222971	3.761691593	3.784269861	-2.702030913	-0.709201649	1.085572629	0.950103019	-2.519424217
SKP2	4	12	-3.36175207	-0.0522928735	-3.3094591965	0.0061	75	60	-2.129255895	-5.164646603	-4.594248245	-0.794365293	0.326150593	-1.127493779	3.295470157	-0.441827419	-0.743267107	0.741749174	2.307175779	2.082581426	-0.43073634	-0.591556988	-2.498034278	0.537752539
PAX6	4	12	-1.1690853255	0.158358409	-1.3274437345	0.0066	50	67	-1.679671078	-0.8383335	-0.274272901	-1.499837151	0.312841298	0.208347487	-0.741682667	-0.384589528	0.108369331	0.381843655	0.343579431	-0.161817281	-1.099369971	0.846718317	-0.072296427	0.998824545
SERPINF1	4	12	-1.4279431915	-0.327965608	-1.0999775835	0.0069	75	50	-2.807000056	-1.38021194	-0.610174157	-1.475674443	1.041208312	-1.411504628	3.317256205	-0.523426073	1.62190553	-0.132505143	-0.937360993	-1.065700623	0.349283415	-1.428933467	-0.653350143	0.163666283
SIK3	4	12	-2.06706663	-0.460721865	-1.606344765	0.0075	100	57	-3.394431143	-1.606786844	-2.527346416	-1.181364735	0.06345046	-1.438043996	-1.511324341	1.944735156	-0.883490037	2.829644831	-0.092220759	-0.829222971	2.456905348	3.128707859	-0.900126655	-2.042507812
IKZF4	4	12	-2.0276536875	0.689462658	-2.7171163455	0.0078	50	67	-3.169836789	0.32840842	-3.70300081	-0.885470586	1.508618078	-1.316438235	0.742937504	0.635987812	1.134294155	0.780171841	-0.539666582	0.380932602	1.07329322	3.704651757	-0.168432317	-0.786443094
MRPL45	4	12	-1.6034199085	-0.132520987	-1.4708989215	0.0081	100	67	-1.897531562	-1.234443471	-2.252049986	-1.309308255	-0.037668493	-0.557491531	1.883338111	-0.529763833	-1.824251218	-0.595914198	1.223815009	0.161685733	0.05073533	-0.227373481	1.361661279	-1.279203898
PABPN1	4	12	-2.9486093705	0.9378236095	-3.88643298	0.0098	100	57	-3.867386448	-1.092239991	-2.029832293	-7.042207865	4.116210017	-0.336224501	1.404837266	0.217101518	-2.20728956	1.080819309	2.819345972	-1.719678185	3.096226842	0.79482791	1.972858964	-3.396015582
SDCBP	4	12	-1.24989176	0.620935633	-1.870827393	0.0099	75	50	-2.971781804	0.204584443	-1.002323028	-1.497460492	1.653594327	0.810276199	-1.11006494	0.762743003	-0.148389153	0.556369708	0.7944318	1.052299391	-0.114957471	0.685501558	-1.296236626	-1.089863331
SSBP1	4	12	-1.747009773	0.3881219975	-2.1351317705	0.01	50	67	NA	-1.747009773	-0.785254764	-2.007650134	NA	NA	NA	NA	NA	NA	0.165211111	-1.402394099	0.611032884	0.727489215	0.636383922	-0.683850611
ENY2	4	12	-3.7251829685	-0.4701294765	-3.255053492	0.01	100	44	-1.24909954	-2.460007721	-4.990358216	-5.449845782	-1.613520713	0.828497258	-0.606609167	-1.65590448	-0.333649786	0.076878588	-1.38536137	-3.907393555	0.075650647	4.009260325	2.229142115	-1.414277398
